"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/rejected","dpo-beta2.0_lr5e-06 - train/rewards/rejected__MIN","dpo-beta2.0_lr5e-06 - train/rewards/rejected__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/rejected","dpo-beta1.0_lr5e-06 - train/rewards/rejected__MIN","dpo-beta1.0_lr5e-06 - train/rewards/rejected__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/rejected","qwen25-7b-dpo-socialiqa - train/rewards/rejected__MIN","qwen25-7b-dpo-socialiqa - train/rewards/rejected__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"10","-0.005114054679870606","-0.005114054679870606","-0.005114054679870606","0","0","0","-0.015686964988708495","-0.015686964988708495","-0.015686964988708495","0","0","0","-0.001237797901558224","-0.002635834293323569","-0.00001032463915180415","0","0","0"
"20","-0.08478026390075684","-0.08478026390075684","-0.08478026390075684","1","1","1","-0.0030275583267211914","-0.0030275583267211914","-0.0030275583267211914","1","1","1","-0.016616350157346457","-0.04730659453198314","0.0019348227258888073","1","1","1"
"30","0.08826637268066406","0.08826637268066406","0.08826637268066406","2","2","2","0.025590503215789796","0.025590503215789796","0.025590503215789796","2","2","2","-0.06732536162344332","-0.26707909554243087","0.00298191926558502","2","2","2"
"40","-0.14712207317352294","-0.14712207317352294","-0.14712207317352294","3","3","3","-0.07462767362594605","-0.07462767362594605","-0.07462767362594605","3","3","3","-0.28419076360914913","-1.0922662979923188","-0.004459998417587485","3","3","3"
"50","-0.20279784202575685","-0.20279784202575685","-0.20279784202575685","4","4","4","-0.09276905059814453","-0.09276905059814453","-0.09276905059814453","4","4","4","-1.0443885314375316","-3.0900501027703284","-0.017477473185863346","4","4","4"
"60","-0.32696828842163084","-0.32696828842163084","-0.32696828842163084","6","6","6","-0.11401544809341431","-0.11401544809341431","-0.11401544809341431","6","6","6","-1.6630073486429564","-4.912034858763218","-0.013174499358865433","5","5","5"
"70","-0.5164483070373536","-0.5164483070373536","-0.5164483070373536","7","7","7","-0.3369087100028992","-0.3369087100028992","-0.3369087100028992","7","7","7","-2.078146106549927","-6.077701333165169","-0.03736962599796243","6","6","6"
"80","-1.0665675163269044","-1.0665675163269044","-1.0665675163269044","8","8","8","-0.715869414806366","-0.715869414806366","-0.715869414806366","8","8","8","-2.4968251221774453","-7.147604143619537","-0.08505931993713603","7","7","7"
"90","-1.7015770196914672","-1.7015770196914672","-1.7015770196914672","9","9","9","-1.0248812079429626","-1.0248812079429626","-1.0248812079429626","9","9","9","-2.4674263085704298","-6.9033253461122515","-0.11630743737332523","8","8","8"
"100","-2.7619678497314455","-2.7619678497314455","-2.7619678497314455","10","10","10","-1.7398963451385498","-1.7398963451385498","-1.7398963451385498","10","10","10","-2.955337672261521","-8.05382030904293","-0.19140891865827142","9","9","9"
"110","-3.60671181678772","-3.60671181678772","-3.60671181678772","12","12","12","-2.4578827381134034","-2.4578827381134034","-2.4578827381134034","12","12","12","-3.537706298800185","-9.380621206760406","-0.3024714922998101","10","10","10"
"120","-4.230199456214905","-4.230199456214905","-4.230199456214905","13","13","13","-2.8313870191574098","-2.8313870191574098","-2.8313870191574098","13","13","13","-3.942530458948264","-10.23981676697731","-0.4327203820459545","11","11","11"
"130","-3.8797727108001707","-3.8797727108001707","-3.8797727108001707","14","14","14","-2.620302069187164","-2.620302069187164","-2.620302069187164","14","14","14","-3.8719191897194833","-9.990501141548156","-0.46067192214541136","12","12","12"
"140","-4.413004183769226","-4.413004183769226","-4.413004183769226","15","15","15","-3.0308244466781615","-3.0308244466781615","-3.0308244466781615","15","15","15","-3.565166580490768","-8.6629040569067","-0.6266081480309367","13","13","13"
"150","-4.8797506332397464","-4.8797506332397464","-4.8797506332397464","16","16","16","-3.486082136631012","-3.486082136631012","-3.486082136631012","16","16","16","-3.7592318713975446","-8.685393238067627","-0.8181214773096144","14","14","14"
"160","-5.00728600025177","-5.00728600025177","-5.00728600025177","18","18","18","-3.7811921000480653","-3.7811921000480653","-3.7811921000480653","18","18","18","-3.9831922528023522","-9.111765620112418","-0.9632036435417831","15","15","15"
"170","-6.318882966041565","-6.318882966041565","-6.318882966041565","19","19","19","-4.680361199378967","-4.680361199378967","-4.680361199378967","19","19","19","-4.286242493366202","-9.243984586000442","-1.2900645088404417","16","16","16"
"180","-6.339921164512634","-6.339921164512634","-6.339921164512634","20","20","20","-4.6430333137512205","-4.6430333137512205","-4.6430333137512205","20","20","20","-3.957925196737051","-8.236885252594949","-1.329865489155054","17","17","17"
"190","-6.82334713935852","-6.82334713935852","-6.82334713935852","21","21","21","-4.9898206949234005","-4.9898206949234005","-4.9898206949234005","21","21","21","-4.243567389513676","-8.519135382771491","-1.590045226039365","18","18","18"
"200","-6.771594285964966","-6.771594285964966","-6.771594285964966","22","22","22","-4.772933447360993","-4.772933447360993","-4.772933447360993","22","22","22","-4.256822964673241","-8.525946754217149","-1.6447858218103648","19","19","19"
"210","-6.441873502731323","-6.441873502731323","-6.441873502731323","24","24","24","-4.543286275863648","-4.543286275863648","-4.543286275863648","24","24","24","-4.346411270151536","-8.571344900131226","-1.8273491077125072","21","21","21"
"220","-7.163638401031494","-7.163638401031494","-7.163638401031494","25","25","25","-4.9826635956764225","-4.9826635956764225","-4.9826635956764225","25","25","25","-4.6291797923545035","-9.035720258951187","-1.9642344869673252","22","22","22"
"230","-7.1837547540664675","-7.1837547540664675","-7.1837547540664675","26","26","26","-5.005221498012543","-5.005221498012543","-5.005221498012543","26","26","26","-4.4832062706351286","-8.366834539175034","-2.1159515023231505","23","23","23"
"240","-7.758342814445496","-7.758342814445496","-7.758342814445496","27","27","27","-5.196445238590241","-5.196445238590241","-5.196445238590241","27","27","27","-4.498954475919406","-8.04540083706379","-2.254956214129925","24","24","24"
