"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/margins","dpo-beta2.0_lr5e-06 - train/rewards/margins__MIN","dpo-beta2.0_lr5e-06 - train/rewards/margins__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/margins","dpo-beta1.0_lr5e-06 - train/rewards/margins__MIN","dpo-beta1.0_lr5e-06 - train/rewards/margins__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/margins","qwen25-7b-dpo-socialiqa - train/rewards/margins__MIN","qwen25-7b-dpo-socialiqa - train/rewards/margins__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"10","-0.11609106063842774","-0.11609106063842774","-0.11609106063842774","0","0","0","-0.03191837072372437","-0.03191837072372437","-0.03191837072372437","0","0","0","-0.004509172651160043","-0.016302173119038345","0.00202845930471085","0","0","0"
"20","0.2558807373046875","0.2558807373046875","0.2558807373046875","1","1","1","-0.008235442638397216","-0.008235442638397216","-0.008235442638397216","1","1","1","0.029643372717691817","-0.0037761306622996925","0.09044426719192415","1","1","1"
"30","0.04757890701293945","0.04757890701293945","0.04757890701293945","2","2","2","0.05116201639175415","0.05116201639175415","0.05116201639175415","2","2","2","0.15196682677633364","-0.009581984067335726","0.6023637149250135","2","2","2"
"40","0.2338412284851074","0.2338412284851074","0.2338412284851074","3","3","3","0.08496259450912476","0.08496259450912476","0.08496259450912476","3","3","3","0.6050544628480565","0.0065345593029633164","2.365831849351525","3","3","3"
"50","0.4875140428543091","0.4875140428543091","0.4875140428543091","4","4","4","0.20223475694656373","0.20223475694656373","0.20223475694656373","4","4","4","1.6794143794919363","0.02976958331419155","4.96148852109909","4","4","4"
"60","0.6739326238632202","0.6739326238632202","0.6739326238632202","6","6","6","0.30328739881515504","0.30328739881515504","0.30328739881515504","6","6","6","2.190153075242415","0.035581289487890896","6.399975423514843","5","5","5"
"70","1.3393741846084595","1.3393741846084595","1.3393741846084595","7","7","7","0.8111507534980774","0.8111507534980774","0.8111507534980774","7","7","7","2.6148868073049623","0.08255061291856691","7.5112835496664045","6","6","6"
"80","2.65695207118988","2.65695207118988","2.65695207118988","8","8","8","1.7270254492759705","1.7270254492759705","1.7270254492759705","8","8","8","3.3907943030043186","0.22021689177490772","9.321672958135604","7","7","7"
"90","3.609939932823181","3.609939932823181","3.609939932823181","9","9","9","2.382147228717804","2.382147228717804","2.382147228717804","9","9","9","3.414235074600825","0.35718844262883065","8.881334310770034","8","8","8"
"100","5.253095865249634","5.253095865249634","5.253095865249634","10","10","10","3.5968597769737243","3.5968597769737243","3.5968597769737243","10","10","10","3.886307472673556","0.6233041753992439","9.409374016523362","9","9","9"
