"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/chosen","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/chosen","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/chosen","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MIN","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"10","-0.12120511531829833","-0.12120511531829833","-0.12120511531829833","0","0","0","-0.04760533571243286","-0.04760533571243286","-0.04760533571243286","0","0","0","-0.005746970459222211","-0.016797227459028362","0.00021848095348104836","0","0","0"
"20","0.17110047340393067","0.17110047340393067","0.17110047340393067","1","1","1","-0.011263000965118408","-0.011263000965118408","-0.011263000965118408","1","1","1","0.013027022556343582","-0.001841308013536036","0.043137672008015215","1","1","1"
"30","0.13584527969360352","0.13584527969360352","0.13584527969360352","2","2","2","0.07675251960754395","0.07675251960754395","0.07675251960754395","2","2","2","0.08464146303595044","-0.006600065424572676","0.3352846120018512","2","2","2"
"40","0.08671915531158447","0.08671915531158447","0.08671915531158447","3","3","3","0.010334920883178712","0.010334920883178712","0.010334920883178712","3","3","3","0.3208637027957593","-0.0037356842396548016","1.2735655650496482","3","3","3"
"50","0.28471620082855226","0.28471620082855226","0.28471620082855226","4","4","4","0.10946570634841919","0.10946570634841919","0.10946570634841919","4","4","4","0.6350258535113729","0.012292109915870241","1.8714384341612458","4","4","4"
"60","0.34696433544158933","0.34696433544158933","0.34696433544158933","6","6","6","0.18927195072174072","0.18927195072174072","0.18927195072174072","6","6","6","0.5271457407337342","0.0224067895396729","1.4879406076390296","5","5","5"
"70","0.8229258775711059","0.8229258775711059","0.8229258775711059","7","7","7","0.47424204349517823","0.47424204349517823","0.47424204349517823","7","7","7","0.5367406809333867","0.04518098661210388","1.4335821580141783","6","6","6"
"80","1.590384554862976","1.590384554862976","1.590384554862976","8","8","8","1.0111560344696044","1.0111560344696044","1.0111560344696044","8","8","8","0.8939691847956662","0.13515757230343298","2.174068824760616","7","7","7"
"90","1.908362913131714","1.908362913131714","1.908362913131714","9","9","9","1.3572660207748413","1.3572660207748413","1.3572660207748413","9","9","9","0.9468087948160248","0.24088100278750063","1.9780090518295765","8","8","8"
"100","2.4911280155181883","2.4911280155181883","2.4911280155181883","10","10","10","1.8569634318351746","1.8569634318351746","1.8569634318351746","10","10","10","0.930969793947103","0.4318952630506828","1.3555536760017275","9","9","9"
"110","2.445466160774231","2.445466160774231","2.445466160774231","12","12","12","1.9823439598083497","1.9823439598083497","1.9823439598083497","12","12","12","0.7424697769650569","0.5291731034871191","1.1329189641401172","10","10","10"
"120","2.409579038619995","2.409579038619995","2.409579038619995","13","13","13","2.0436019897460938","2.0436019897460938","2.0436019897460938","13","13","13","0.6257882978611936","-0.06982158329337836","1.2963573649525642","11","11","11"
"130","2.768036413192749","2.768036413192749","2.768036413192749","14","14","14","2.2390942573547363","2.2390942573547363","2.2390942573547363","14","14","14","0.6497812389551352","0.00867067314684391","1.289658884704113","12","12","12"
"140","2.8810850620269775","2.8810850620269775","2.8810850620269775","15","15","15","2.2745172500610353","2.2745172500610353","2.2745172500610353","15","15","15","0.931226419750601","0.646656212117523","1.2936243334785105","13","13","13"
"150","3.618765115737915","3.618765115737915","3.618765115737915","16","16","16","2.6220005631446837","2.6220005631446837","2.6220005631446837","16","16","16","1.2070134079394241","0.7599960571154952","1.4545522949658334","14","14","14"
