"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/accuracies","dpo-beta2.0_lr5e-06 - train/rewards/accuracies__MIN","dpo-beta2.0_lr5e-06 - train/rewards/accuracies__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/accuracies","dpo-beta1.0_lr5e-06 - train/rewards/accuracies__MIN","dpo-beta1.0_lr5e-06 - train/rewards/accuracies__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/accuracies","qwen25-7b-dpo-socialiqa - train/rewards/accuracies__MIN","qwen25-7b-dpo-socialiqa - train/rewards/accuracies__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"10","0.35625","0.35625","0.35625","0","0","0","0.35625","0.35625","0.35625","0","0","0","0.4","0.375","0.43125","0","0","0"
"20","0.575","0.575","0.575","1","1","1","0.525","0.525","0.525","1","1","1","0.546875","0.45","0.69375","1","1","1"
"30","0.55","0.55","0.55","2","2","2","0.525","0.525","0.525","2","2","2","0.60625","0.45625","0.9","2","2","2"
"40","0.5875","0.5875","0.5875","3","3","3","0.58125","0.58125","0.58125","3","3","3","0.671875","0.51875","0.96875","3","3","3"
"50","0.61875","0.61875","0.61875","4","4","4","0.61875","0.61875","0.61875","4","4","4","0.7416666666666667","0.5875","0.9875","4","4","4"
"60","0.71875","0.71875","0.71875","6","6","6","0.69375","0.69375","0.69375","6","6","6","0.80625","0.7","0.98125","5","5","5"
"70","0.825","0.825","0.825","7","7","7","0.80625","0.80625","0.80625","7","7","7","0.8916666666666666","0.8375","1","6","6","6"
"80","0.9125","0.9125","0.9125","8","8","8","0.95","0.95","0.95","8","8","8","0.96875","0.95","1","7","7","7"
"90","0.9375","0.9375","0.9375","9","9","9","0.975","0.975","0.975","9","9","9","0.9708333333333332","0.95","1","8","8","8"
"100","0.9875","0.9875","0.9875","10","10","10","0.98125","0.98125","0.98125","10","10","10","0.9791666666666666","0.96875","0.99375","9","9","9"
"110","0.96875","0.96875","0.96875","12","12","12","0.975","0.975","0.975","12","12","12","0.975","0.9625","0.99375","10","10","10"
"120","0.975","0.975","0.975","13","13","13","0.96875","0.96875","0.96875","13","13","13","0.9645833333333335","0.94375","0.9875","11","11","11"
"130","0.99375","0.99375","0.99375","14","14","14","1","1","1","14","14","14","0.9812500000000001","0.975","0.9875","12","12","12"
"140","0.975","0.975","0.975","15","15","15","0.98125","0.98125","0.98125","15","15","15","0.9708333333333333","0.95625","0.99375","13","13","13"
"150","0.9875","0.9875","0.9875","16","16","16","0.99375","0.99375","0.99375","16","16","16","0.9729166666666668","0.95","0.99375","14","14","14"
"160","0.9625","0.9625","0.9625","18","18","18","0.9875","0.9875","0.9875","18","18","18","0.96875","0.95625","0.9875","15","15","15"
"170","1","1","1","19","19","19","1","1","1","19","19","19","0.9916666666666667","0.9875","1","16","16","16"
"180","0.96875","0.96875","0.96875","20","20","20","0.98125","0.98125","0.98125","20","20","20","0.9770833333333333","0.96875","0.9875","17","17","17"
"190","0.99375","0.99375","0.99375","21","21","21","0.99375","0.99375","0.99375","21","21","21","0.99375","0.9875","1","18","18","18"
"200","1","1","1","22","22","22","1","1","1","22","22","22","0.9875000000000002","0.98125","0.99375","19","19","19"
"210","0.9875","0.9875","0.9875","24","24","24","0.9875","0.9875","0.9875","24","24","24","0.9854166666666666","0.96875","1","21","21","21"
"220","0.99375","0.99375","0.99375","25","25","25","0.99375","0.99375","0.99375","25","25","25","0.9875000000000002","0.9875","0.9875","22","22","22"
"230","0.9875","0.9875","0.9875","26","26","26","0.9875","0.9875","0.9875","26","26","26","0.9958333333333332","0.99375","1","23","23","23"
"240","0.9875","0.9875","0.9875","27","27","27","0.99375","0.99375","0.99375","27","27","27","0.9979166666666667","0.99375","1","24","24","24"
